team_code,team_name,club,age,repeat_matchups_count,repeat_meetings_total,winner_change_rate,favorable_change_rate,avg_margin_slope,avg_performance_slope,h2h_raw_score,insufficient_h2h_samples,h2h_z_score
B16LHVBC1NE,LHV Boys 16-1 Valiants,LHVBC,16,4,8,0.25,0.0,-1.25,-0.25,-0.23262474747427916,False,-0.48573855416708345
B16LIFRY1GE,LI Fury 16 1,LIFRY,16,1,2,0.0,0.0,-9.0,0.0,-0.2403929433284621,False,-0.5007306185328282
B17DIGSV1GE,Digs Boys 17 Red,DIGSV,17,1,2,0.0,0.0,-9.0,0.0,-0.2403929433284621,False,-0.5007306185328282
B18LHVBC1NE,LHV Boys 18-1 Rafiki,LHVBC,18,4,10,0.25,0.0,-5.0,-0.25,-0.26088871368161154,False,-0.5402859945979777
B17NESVC3NE,NE Storm 17 Wildfire,NESVC,17,6,12,0.5,0.16666666666666666,-4.833333333333333,-0.16666666666666666,-0.2619244731288358,False,-0.54228493651341
B15SJVBC1NE,South County Juniors Boys 15 1,SJVBC,15,5,10,0.2,0.0,-4.4,-0.2,-0.2769149099035091,False,-0.571215411132625
B16LCVBC2GE,Legacy Boys 16 Premier,LCVBC,16,2,4,0.0,0.0,-10.5,0.0,-0.2804584338832058,False,-0.5780541598694461
B17NESVC1NE,NE Storm 17 Tsunami,NESVC,17,5,12,0.2,0.0,-6.4,-0.22000000000000003,-0.29519971198915296,False,-0.6065037760153498
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,4,10,0.25,0.0,-1.1749999999999998,-0.05,-0.33268153024227887,False,-0.6788410139460117
B17MVNER1NE,Meraki VB 17 1,MVNER,17,4,9,0.75,0.25,-6.5,-0.25,-0.3462648167232817,False,-0.7050557887848684
B15TTVBC1NE,SLAM 15 1 Boys,TTVBC,15,2,4,1.0,0.5,-13.0,0.0,-0.34723425147444514,False,-0.7069267287638091
B15NYCVA1GE,NYC VBA 15 Nomad,NYCVA,15,1,2,0.0,0.0,-13.0,0.0,-0.34723425147444525,False,-0.7069267287638092
B18LHVBC3NE,LHV Boys 18-3 Thunder,LHVBC,18,2,4,0.0,0.0,-13.5,0.0,-0.36058941499269315,False,-0.7327012425426819
B16BVJVB1NE,Blast 16 Inferno,BVJVB,16,5,16,0.4,0.0,-3.2514285714285713,-0.20571428571428568,-0.3693696988016781,False,-0.7496465645305317
B18LEGIO1XL,TeamLVC Boys 18 Black,LEGIO,18,4,8,0.25,0.0,-6.5,-0.25,-0.3728539644158821,False,-0.7563709488452461
B17CAPIT2XL,CSVC 17 SKYLIGHT,CAPIT,17,3,6,1.0,0.3333333333333333,-4.666666666666667,-0.3333333333333333,-0.3902973110751928,False,-0.7900353647249732
B18118281XX,PW-VB Quarter-Zip Elite 67-Matcha,11828,18,2,4,0.5,0.0,0.0,-0.5,-0.39847367735731887,False,-0.8058151689266829
B16NESVC1NE,NE Storm 16 Lightning,NESVC,16,2,5,0.5,0.0,-4.5,-0.5,-0.4149361192172399,False,-0.8375865084518533
B15NEVBC3NE,NEVBC Boys 15 Blue,NEVBC,15,2,4,0.5,0.0,-1.0,-0.5,-0.42518400439381465,False,-0.8573641964844282
B15SJJVB1NE,SMASH Boys 15-1,SJJVB,15,5,13,0.4,0.0,-2.16,-0.18,-0.450583201495847,False,-0.906382836711794
