pool_key,team_code,team_name,local_rank,local_rating,wins,losses,matches_played,local_accuracy_pct,usav_national_accuracy_pct,usav_regional_accuracy_pct,local_picks_made,usav_national_picks_made,usav_regional_picks_made,event_name,model,local_edge_vs_usav_national_pp,local_edge_vs_usav_regional_pp,recommended_seed_source
B17,B17LHVBC1NE,LHV Boys 17-1 Ubuntu,17,4.793922273324954,7,4,11,,,,,,,,,,,
B17,B17LIFRY1GE,LI Fury 17 1,18,4.1515137739432,4,3,7,,,,,,,,,,,
B17,B17MVPVA1NE,MVP BOS 17 Black,19,3.060926295064452,7,11,18,,,,,,,,,,,
B17,B17PVJVB1NE,PV Boys 17 1,20,3.0555067013943256,7,8,15,,,,,,,,,,,
B17,B17117902XX,Torrimar 17 2,21,2.8986813753206486,8,1,9,,,,,,,,,,,
B17,B17BVJVB1NE,Blast 17 Ignite,22,2.4221053988776875,10,12,22,,,,,,,,,,,
B17,B17SPTMC3GE,Sportime 17 3,23,1.896144784120975,7,2,9,,,,,,,,,,,
B17,B17SPTMC5GE,Sportime 17 Lynbrook,24,1.7391244132409367,2,5,7,,,,,,,,,,,
B17,B17ROYAL1NO,Infinity Royals 17N,25,-0.5833724901928885,4,4,8,,,,,,,,,,,
B17,B17HKJVB2NE,Husky 17.2,26,-0.6719625029140935,3,2,5,,,,,,,,,,,
B17,B17NYCVA1GE,NYC VBA 17 Downtown,27,-0.9722110322083221,7,7,14,,,,,,,,,,,
B17,B17MVNER1NE,Meraki VB 17 1,28,-1.6503657534424943,9,8,17,,,,,,,,,,,
B17,B17CSJVB1NE,MEVBC/CT STARS 17 1,29,-2.4171656639783903,1,9,10,,,,,,,,,,,
B17,B17DIGSV1GE,Digs Boys 17 Red,30,-2.5693851611138507,2,6,8,,,,,,,,,,,
B17,B17CAMYV1NE,CYVB 17 1,31,-3.4239121330518683,7,6,13,,,,,,,,,,,
B17,B17TTVBC2NE,SLAM 17 2 Boys,32,-3.9278272583952236,4,18,22,,,,,,,,,,,
B17,B17CAPIT2XL,CSVC 17 SKYLIGHT,33,-5.26742862478746,8,15,23,,,,,,,,,,,
B17,B17NESVC2NE,NE Storm 17 Landslide,34,-5.3693656322919985,12,11,23,,,,,,,,,,,
B17,B17LCVBC2GE,Legacy Boys 17 Premier,35,-5.4624626032819155,4,3,7,,,,,,,,,,,
B17,B17RRJVB2NE,Boston United Boys 17 Northeast,36,-5.561802994458883,11,13,24,,,,,,,,,,,
B17,B17HKJVB3NE,Husky 17.3,37,-6.897831298127814,3,4,7,,,,,,,,,,,
B17,B17XTREM1GE,Xtreme 17 National Braulio,38,-7.311976960362273,3,5,8,,,,,,,,,,,
B17,B17RAPTO1GE,NYC Raptors 17 Black,39,-7.710301495314048,0,7,7,,,,,,,,,,,
B17,B17SPTMC6GE,Sportime 17 Lynbrook 2,40,-7.908271585640662,2,5,7,,,,,,,,,,,
B17,B17RIVAL1GE,Rival 17’s,41,-8.083672179555027,3,4,7,,,,,,,,,,,
B17,B17MVPVA2NE,MVP BOS 17 Blue,42,-9.147307757863636,9,10,19,,,,,,,,,,,
B17,B17PVJVB2NE,PV Boys 17 2,43,-9.324725275514146,11,8,19,,,,,,,,,,,
B17,B17MMVBC1NE,Mayhem 17 1,44,-10.499100665778688,7,3,10,,,,,,,,,,,
B17,B17NESVC3NE,NE Storm 17 Wildfire,45,-12.14375946766588,7,11,18,,,,,,,,,,,
B17,B17HKJVB4NE,Husky 17.4,46,-13.278249403447502,5,5,10,,,,,,,,,,,
B17,B17PVJVB3NE,PV Boys 17 3,47,-13.784423886316201,8,11,19,,,,,,,,,,,
B17,B17SPTMC4GE,Sportime 17 4,48,-13.979234867704804,1,6,7,,,,,,,,,,,
B17,B17RRJVB3NE,Boston United Boys 17 Select 1,49,-17.622610939972887,6,17,23,,,,,,,,,,,
B17,B17LHVBC2NE,LHV Boys 17-2 Boom,50,-18.684867505579,3,14,17,,,,,,,,,,,
B17,B17MVNER2NE,Meraki VB 17 2,51,-22.87107829300199,2,13,15,,,,,,,,,,,
B18,B18SJJVB1NE,SMASH Boys 18-1,1,26.836110086018667,6,0,6,,,,,,,,,,,
B18,B18NEVBC1NE,NEVBC Boys 18.1,2,20.76387238418796,5,1,6,,,,,,,,,,,
B18,B18SJVBC1NE,South County Juniors Boys 18's Blue,3,16.472866149128684,16,2,18,,,,,,,,,,,
B18,B18PWRSP1SU,PSA Power 18,4,15.737287678292489,6,2,8,,,,,,,,,,,
B18,B18LEGIO1XL,TeamLVC Boys 18 Black,5,15.58098398828138,11,3,14,,,,,,,,,,,
B18,B18NYCIV1GE,NYC Impact 18 National,6,13.697880039638228,6,2,8,,,,,,,,,,,
B18,B18CORE11GE,CORE Boys 18 Platinum,7,13.360154281075058,4,3,7,,,,,,,,,,,
B18,B18VENGE1OV,18 - Lusher,8,12.113581279797968,9,0,9,,,,,,,,,,,
B18,B18PVJVB1NE,PV Boys 18 1,9,12.053902566993088,4,4,8,,,,,,,,,,,
B18,B18SJJVB2NE,SMASH Boys 18's Force,10,11.152196905925823,4,4,8,,,,,,,,,,,
B18,B18HKJVB1NE,Husky 18.1,11,11.008594235488772,6,4,10,,,,,,,,,,,
B18,B18SJJVB3NE,SMASH Boys 18's Surge,12,10.854818418457349,6,2,8,,,,,,,,,,,
B18,B18DIGSV1GE,Digs Boys 18 Red,13,10.612122469298427,4,3,7,,,,,,,,,,,
B18,B18MVNER1NE,Meraki VB 18 1,14,10.088829283265252,6,4,10,,,,,,,,,,,
B18,B18LCVBC1GE,Legacy Boys 18 National,15,9.913915657457004,3,5,8,,,,,,,,,,,
