team_code,team_name,club,age,gender,checkpoint_match_count,window_start_match,window_end_match,rolling_massey_rating,step_delta,step_direction,expanding_massey_rating,expanding_step_delta,expanding_step_direction
G12EYNER1NE,ENVY 12 1 LavaFlow,EYNER,12,G,11,7,11,11.203253927018851,-1.9439510942565459,down,15.248732487333008,-0.5342019425933682,down
G12GGVOL1GE,GG 12 1,GGVOL,12,G,5,1,5,18.270238095241286,0.0,start,18.270238095241286,0.0,start
G12GGVOL1GE,GG 12 1,GGVOL,12,G,6,2,6,20.820238095246925,2.550000000005639,up,18.433531746039108,0.1632936507978222,up
G12GGVOL1GE,GG 12 1,GGVOL,12,G,7,3,7,19.73036629870456,-1.089871796542365,down,18.533594975265167,0.10006322922605904,up
G12GRVBC1NE,GVC 12-1,GRVBC,12,G,5,1,5,0.07512820512598697,0.0,start,0.07512820512598697,0.0,start
G12GRVBC1NE,GVC 12-1,GRVBC,12,G,6,2,6,-1.8707051282159175,-1.9458333333419044,down,0.4410790598200531,0.3659508546940661,up
G12GRVBC1NE,GVC 12-1,GRVBC,12,G,7,3,7,1.0863124156462707,2.957017543862188,up,1.3949850587949317,0.9539059989748786,up
G12GRVBC1NE,GVC 12-1,GRVBC,12,G,8,4,8,3.258230525678684,2.171918110032413,up,1.9322274118824954,0.5372423530875636,up
G12GRVBC1NE,GVC 12-1,GRVBC,12,G,9,5,9,4.325133317986641,1.0669027923079568,up,2.351997142468885,0.41976973058638967,up
G12GRVBC2NE,GVC 12-2 Diamonds,GRVBC,12,G,5,1,5,-8.470256410251995,0.0,start,-8.470256410251995,0.0,start
G12GRVBC2NE,GVC 12-2 Diamonds,GRVBC,12,G,6,2,6,-14.157756410242346,-5.687499999990351,down,-10.46479700853528,-1.994540598283285,down
G12GRVBC2NE,GVC 12-2 Diamonds,GRVBC,12,G,7,3,7,-15.518721560489809,-1.3609651502474627,down,-11.822896352730849,-1.358099344195569,down
G12GRVBC2NE,GVC 12-2 Diamonds,GRVBC,12,G,8,4,8,-16.65518332375259,-1.1364617632627798,down,-12.380322910678714,-0.5574265579478652,down
