team_code,team_name
G14HKJVB4NE,Husky 14 New England Black
G14HRJVB1NE,HardRock 14
G14HRJVB2NE,HardRock 13/14
G14IGVBC1NE,Ignite 14 Black
G14IGVBC2NE,Ignite 14 Red
G14LCVBC1GE,Legacy 14 National
G14LCVBC2GE,Legacy 14 Premier Natalie
G14LDNER1NE,Lockdown VBC 14 Mockingjays
G14LDNER2NE,Lockdown VBC 14 Orioles
G14LDNER3NE,Lockdown VBC 14 Herons
G14LEGIO1XL,TeamLVC 14 Black
G14LEGIO2XL,TeamLVC 14 Pink
G14LFJVB1NE,603 United 14 Seacoast Black
G14LFJVB2NE,603 United 14 Seacoast White
G14LFJVB3NE,603 United 14 Seacoast Blue
G14LFJVB4NE,603 United 14 Central Blue
G14LHVBA1GE,LHVA 14 Purple National
G14LHVBA2GE,LHVA 14 Black Travel
G14LHVBC2NE,LHV Girls 14-2 Blast
G14LHVBC3NE,LHV Girls 14-3 Firestorm
G14LHVBC4NE,LHV Girls 14-4 Triumph
G14LUNAR5GEX,CCC - Hawks 14
G14MAJVB1NE,Mass Premier 14 1 Blue
G14MAJVB2NE,Mass Premier 14 1 White
G14MAJVB3NE,Mass Premier 14 2 Blue
G14MAJVB4NE,Mass Premier 14 2 White
G14MAJVB5NE,Mass Premier 14 2 Gold
G14MAPVB3NE,Mass Power VB 14 Pink
G14MCJVB1NE,Mill City 14's
G14MCJVB2NE,Mill City 14 Orange
G14MCJVB3NE,Mill City 14 Blue
G14MGJVB19NE,MGA 14's Eagles
G14MGJVB1NE,MGA 14's Gold
G14MGJVB20NE,MGA 14's Lions
G14MGJVB2NE,MGA 14's Silver
G14MGJVB4NE,MGA 14's Red
G14MGJVB5NE,MGA 14's Stars
G14MGJVB6NE,MGA 14's Stripes
G14MGJVB7NE,MGA 14's Black
G14MIVBC1NE,Mass Impact 14 Sam
G14MIVBC2NE,Mass Impact 14 Lara
G14MNJVB1NE,Maine Jrs 14-Gold
G14MNJVB2NE,Maine Jrs 14-Silver
G14MNJVB3NE,Maine Jrs 14-Bronze
G14MOMET2FL,Momentum 14 Neon
G14MXVBC1NE,Max Performance 14 Jaz
G14NETHG1XL,NET 14 Force
G14NEVBC1NE,Northeast 14.1
G14NEVBC2NE,Northeast 14.2
G14NEVBC3NE,Northeast 14 Blue
G14NEVBC4NE,Northeast 14 Orange
G14NSJVB1NE,NH Seacoast 14 Premier
G14NYCIV1GE,NYC Impact 14U Black
G14NYCJR1GE,NYC Juniors 14 National
G14NYCJR2GE,NYC Juniors 14 Blue
G14NYCJR3GE,NYC Juniors 14 Orange
G14NYCJR5GE,NYC Juniors 14 Brooklyn
G14NYCLI1GE,NYCLI 14 Elite
G14NYCVA1GE,NYC VBA 14 Chelsea
G14NYCVA2GE,NYC VBA 14 Noho
G14OCEAN1GE,Ocean Volleyball 14 National
G14PROVA3GE,Prodigy 14.3 Club
G14PROVA4GE,Prodigy 14.4 Club
G14PVJVB3NE,PV 14 Pink Panthers
G14PVJVB4NE,PV 14 Select North
G14RENAS1KE,Renaissance 14 Black
G14ROCKA1GE,RVT 14-1 Surf
G14ROCKA2GE,RVT 14-2 Swim
G14ROCKA3GE,RVT 14-3 Sail
G14RRJVB1NE,Boston United 14 National
G14RRJVB2NE,Boston United 14 Northeast
G14RRJVB3NE,Boston United 14 Select - Aria
G14RRJVB4NE,Boston United 14 Select - Mollie
G14RRJVB5NE,Boston United 14 Sapphire
G14RRJVB6NE,Boston United 14 Steel
G14RRJVB7NE,Boston United 14 Titanium
G14SJJVB1NE,SMASH 14s
G14SJJVB2NE,SMASH 14s Fire
G14SJVBC1NE,South County 14-Blue
G14SJVBC2NE,South County 14-Gold
G14SJVBC3NE,South County 14-White
G14SJVBC4NE,South County 14-Black
G14SOSVB1GE,Sideout 14N Jeff
G14SPAVB1XL,Spa City 14 Aqua
